NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month,route
2976107,2022-04-05,2022-04-05,17:07:32,17:09:00,3080.0,2100000.0,"1,467",121.6,123.7,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976206,2022-04-05,2022-04-05,17:20:32,17:29:01,24372.0,2873000.0,"8,483",126.3,129.5,A,2,A2,descending,Boxtel-Noord,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2974225,2022-04-04,2022-04-04,17:39:32,17:48:01,34855.0,4109000.0,"8,483",137.9,141.4,A,2,A2,descending,Best-West,Boxtel,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976421,2022-04-05,2022-04-05,17:42:33,17:44:00,3335.0,2300000.0,"1,450",133.1,135.4,A,2,A2,descending,Best-West,Boxtel,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2974305,2022-04-04,2022-04-04,17:51:32,17:53:00,5427.0,3700000.0,"1,467",139.4,143.1,A,2,A2,descending,Best,Best-West,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976457,2022-04-05,2022-04-05,17:46:32,17:49:00,5180.0,2100000.0,"2,467",138.4,140.5,A,2,A2,descending,Best,Best-West,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976041,2022-04-05,2022-04-05,16:59:33,17:01:00,3190.0,2200000.0,"1,450",121.6,123.8,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976138,2022-04-05,2022-04-05,17:11:33,17:19:00,20500.0,2752000.0,"7,450",123.0,126.0,A,2,A2,descending,Boxtel-Noord,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2975266,2022-04-05,2022-04-05,08:53:32,09:15:02,54160.0,2519000.0,"21,500",121.6,123.7,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 22,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976549,2022-04-05,2022-04-05,18:00:32,18:07:00,16515.0,2554000.0,"6,467",139.9,142.4,A,2,A2,descending,Best,Best-West,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976430,2022-04-05,2022-04-05,17:43:32,17:52:00,26668.0,3150000.0,"8,467",140.7,142.9,A,2,A2,descending,Ekkersweijer,Best,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976556,2022-04-05,2022-04-05,18:02:32,18:04:00,2933.0,2000000.0,"1,467",125.1,127.1,A,2,A2,descending,Boxtel-Noord,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2974172,2022-04-04,2022-04-04,17:32:32,17:34:00,4840.0,3300000.0,"1,467",135.8,139.1,A,2,A2,descending,Best-West,Boxtel,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976249,2022-04-05,2022-04-05,17:24:32,17:26:00,3227.0,2200000.0,"1,467",140.3,142.5,A,2,A2,descending,Ekkersweijer,Best,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976250,2022-04-05,2022-04-05,17:24:32,17:27:00,5353.0,2170000.0,"2,467",121.7,123.8,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976277,2022-04-05,2022-04-05,17:27:32,17:32:00,10987.0,2460000.0,"4,467",141.9,154.9,A,2,A2,descending,Ekkersweijer,Airbornebrug,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976352,2022-04-05,2022-04-05,17:34:33,17:42:01,29775.0,3988000.0,"7,467",134.0,136.2,A,2,A2,descending,Best-West,Boxtel,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976322,2022-04-05,2022-04-05,17:31:32,17:33:00,3227.0,2200000.0,"1,467",121.6,123.8,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976394,2022-04-05,2022-04-05,17:39:33,17:42:00,6120.0,2498000.0,"2,450",121.6,124.0,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2974189,2022-04-04,2022-04-04,17:34:32,17:36:00,5867.0,4000000.0,"1,467",136.0,140.0,A,2,A2,descending,Best-West,Boxtel,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976328,2022-04-05,2022-04-05,17:32:32,17:34:01,4598.0,3100000.0,"1,483",142.5,156.4,A,2,A2,descending,Batadorp,Ekkersweijer,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976476,2022-04-05,2022-04-05,17:48:32,18:01:00,36062.0,2893000.0,"12,467",121.6,124.3,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 12,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
2976482,2022-04-05,2022-04-05,17:49:32,17:58:00,29365.0,3468000.0,"8,467",139.4,141.4,A,2,A2,descending,Best,Best-West,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-D
